City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Sunndalsora,NO,2021-01-27 16:28:45,62.6754,8.5515,32.0,69,75,5.75
226,Henties Bay,NA,2021-01-27 16:25:43,-22.116,14.2845,66.22,80,10,10.07
227,Iskateley,RU,2021-01-27 16:28:46,67.6803,53.1512,-7.19,87,100,15.26
228,Berdigestyakh,RU,2021-01-27 16:28:46,62.0989,126.6992,-45.04,77,100,3.47
229,Wahpeton,US,2021-01-27 16:28:46,46.2652,-96.6059,7.0,78,40,6.91
230,Neyshabur,IR,2021-01-27 16:28:46,36.2133,58.7958,38.55,57,0,0.96
231,Pavilosta,LV,2021-01-27 16:28:46,56.8879,21.1859,33.8,75,90,6.91
232,Sogne,NO,2021-01-27 16:28:46,58.0833,7.8167,28.99,80,75,3.44
233,Arak,IR,2021-01-27 16:24:42,34.0917,49.6892,39.51,63,76,1.9
234,Seminole,US,2021-01-27 16:28:47,28.7086,-81.2081,75.99,82,12,4.0
235,Tambun,ID,2021-01-27 16:28:47,-6.2641,107.0712,80.01,88,40,8.05
236,Khandbari,NP,2021-01-27 16:28:47,27.3747,87.2039,50.74,55,0,2.55
237,Bow Island,CA,2021-01-27 16:28:47,49.8668,-111.3684,10.4,85,70,9.22
238,Victoria,HK,2021-01-27 16:26:00,22.2855,114.1577,64.0,85,30,1.99
239,Lorengau,PG,2021-01-27 16:25:21,-2.0226,147.2712,82.0,78,100,7.11
240,Luganville,VU,2021-01-27 16:28:48,-15.5333,167.1667,75.7,87,100,11.25
241,Sobolevo,RU,2021-01-27 16:28:48,54.4299,31.8996,29.46,98,100,9.55
242,Pangkalanbuun,ID,2021-01-27 16:28:48,-2.6833,111.6167,74.77,95,100,2.62
243,Kununurra,AU,2021-01-27 16:25:53,-15.7667,128.7333,78.8,100,75,6.91
244,Pula,HR,2021-01-27 16:28:48,44.8683,13.8481,41.0,70,0,1.05
245,Saint-Philippe,RE,2021-01-27 16:28:48,-21.3585,55.7679,82.4,69,0,10.36
246,Belle Fourche,US,2021-01-27 16:28:49,44.6714,-103.8522,24.01,79,1,2.93
247,Puerto Suarez,BO,2021-01-27 16:28:49,-18.95,-57.8,87.8,74,75,4.61
248,Lincoln,US,2021-01-27 16:26:57,40.8,-96.667,17.01,88,90,4.0
249,Santa Marta,CO,2021-01-27 16:28:30,11.2408,-74.199,87.01,70,100,12.84
250,Kaitangata,NZ,2021-01-27 16:28:50,-46.2817,169.8464,53.01,69,33,15.01
251,Richards Bay,ZA,2021-01-27 16:28:50,-28.783,32.0377,75.25,93,100,9.17
252,Jiayuguan,CN,2021-01-27 16:28:50,39.8167,98.3,20.26,74,0,3.49
253,Newport,GB,2021-01-27 16:28:50,51.5877,-2.9984,50.0,98,100,1.99
254,Kieta,PG,2021-01-27 16:28:50,-6.2167,155.6333,80.78,81,100,6.87
255,Geraldton,AU,2021-01-27 16:28:50,-28.7667,114.6,66.2,68,0,16.11
256,Port Hedland,AU,2021-01-27 16:28:51,-20.3167,118.5667,82.4,65,4,8.05
257,Cobh,IE,2021-01-27 16:28:51,51.8572,-8.2992,50.0,100,90,10.36
258,Chernyshevskiy,RU,2021-01-27 16:28:51,63.0128,112.4714,-45.8,81,33,1.74
259,Baglung,NP,2021-01-27 16:28:51,28.2719,83.5898,50.05,49,0,4.9
260,Southbridge,US,2021-01-27 16:27:55,42.0751,-72.0334,33.01,77,95,4.41
261,Poum,NC,2021-01-27 16:25:55,-20.2333,164.0167,79.79,75,97,11.36
262,Paldiski,EE,2021-01-27 16:28:52,59.3567,24.0531,33.8,100,90,3.44
263,Zambezi,ZM,2021-01-27 16:28:52,-13.5432,23.1047,70.03,86,95,3.71
264,Coquimbo,CL,2021-01-27 16:28:52,-29.9533,-71.3436,66.2,72,0,12.66
265,Fairbanks,US,2021-01-27 16:25:43,64.8378,-147.7164,-6.0,76,1,2.15
266,Bjornevatn,NO,2021-01-27 16:28:52,69.6672,29.9847,21.2,73,75,14.97
267,Linfen,CN,2021-01-27 16:28:52,36.0889,111.5189,34.99,53,0,5.7
268,Kailua,US,2021-01-27 16:26:23,21.4022,-157.7394,75.2,69,90,17.27
269,Najran,SA,2021-01-27 16:26:21,17.4924,44.1277,68.0,26,0,9.22
270,Severo-Kurilsk,RU,2021-01-27 16:28:53,50.6789,156.125,24.26,93,75,3.2
271,Nikolskoye,RU,2021-01-27 16:25:18,59.7035,30.7861,33.8,86,75,2.24
272,Oyama,JP,2021-01-27 16:28:53,36.3,139.8,48.99,64,75,5.75
273,Arlit,NE,2021-01-27 16:24:50,18.7369,7.3853,85.89,9,0,7.2
274,Baykit,RU,2021-01-27 16:28:54,61.67,96.37,-30.39,79,100,5.53
275,Katherine,AU,2021-01-27 16:28:54,-14.4667,132.2667,77.0,94,75,6.06
276,Didsbury,GB,2021-01-27 16:27:34,53.417,-2.2315,48.0,93,40,2.3
277,Rawson,AR,2021-01-27 16:28:54,-43.3002,-65.1023,69.82,31,100,15.75
278,Hasaki,JP,2021-01-27 16:28:54,35.7333,140.8333,41.0,65,75,11.5
279,Bac Lieu,VN,2021-01-27 16:24:47,9.285,105.7244,77.0,82,55,14.58
280,Bengkulu,ID,2021-01-27 16:28:47,-3.8004,102.2655,75.87,93,100,10.78
281,Agropoli,IT,2021-01-27 16:28:55,40.3469,14.9966,50.0,43,40,2.3
282,Dodoma,TZ,2021-01-27 16:28:55,-6.1722,35.7395,86.0,39,20,9.22
283,Kolyvan,RU,2021-01-27 16:28:55,55.3053,82.7391,24.8,86,90,15.66
284,Vostok,RU,2021-01-27 16:24:21,46.4856,135.8833,-7.64,92,100,6.17
285,Portland,US,2021-01-27 16:25:04,45.5234,-122.6762,37.99,93,100,4.41
286,Anadyr,RU,2021-01-27 16:28:56,64.75,177.4833,12.2,79,40,40.26
287,Mbanza-Ngungu,CD,2021-01-27 16:28:56,-5.25,14.8667,69.98,95,100,0.83
288,Torbat-E Jam,IR,2021-01-27 16:28:56,35.244,60.6225,41.14,60,0,1.9
289,Irati,BR,2021-01-27 16:25:35,-25.4672,-50.6511,79.14,68,100,7.47
290,Susanville,US,2021-01-27 16:27:15,40.4163,-120.653,33.8,86,90,5.75
291,Mancio Lima,BR,2021-01-27 16:28:57,-7.6142,-72.8958,86.0,74,75,5.75
