City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
438,Narasannapeta,IN,72.0,broken clouds,18.4167,84.05,G.lingaraju home
443,Salaga,GH,88.56,overcast clouds,8.5508,-0.5188,Bore Nada Guest House
448,Broken Hill,AU,68.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
449,Cockburn Town,TC,75.2,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
452,Diamantino,BR,85.55,moderate rain,-14.4086,-56.4461,Hotel Delta
453,Lazaro Cardenas,MX,83.57,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
458,La Asuncion,VE,79.2,few clouds,11.0333,-63.8628,Colinas de Matasiete
462,Ixtapa,MX,78.8,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
464,Tubuala,PA,88.0,scattered clouds,9.5167,-79.0333,Río Nabagana
465,Harper,LR,78.31,light rain,4.375,-7.7169,Screensaver
468,Karaton,ID,78.01,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
469,Rosario,AR,87.01,broken clouds,-32.9468,-60.6393,Holiday Inn Rosario
471,Banda Aceh,ID,77.74,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
474,Marawi,PH,72.0,overcast clouds,7.9986,124.2928,Derogongan Residence
478,Dhidhdhoo,MV,80.58,clear sky,6.8833,73.1,Dhidhoo beach
481,Chokwe,MZ,75.78,clear sky,-24.5333,32.9833,Complexo Sonho Real
484,Requena,ES,68.0,clear sky,39.4883,-1.1004,Hotel Avenida
486,Cap Malheureux,MU,81.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
487,Curup,ID,67.46,light rain,-3.4667,102.5333,Ayi The Costel
488,Singaparna,ID,70.68,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
489,Saint-Georges,GD,86.0,few clouds,12.0564,-61.7485,Siesta Hotel
490,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
493,Gambela,ET,87.13,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
496,Alugan,PH,77.45,overcast clouds,12.2188,125.4808,JM Lodge
497,Batticaloa,LK,76.6,light rain,7.7102,81.6924,Grand Star Guest House
501,Sibiti,CG,70.39,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
503,Perth,AU,70.0,clear sky,-31.9333,115.8333,Parmelia Hilton Perth
504,Buala,SB,80.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
505,Bosaso,SO,73.31,clear sky,11.2842,49.1816,Red Sea Hotel
511,Coahuayana,MX,87.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
512,Alta Gracia,AR,88.0,broken clouds,-31.6529,-64.4283,Hotel Ritz
515,Banes,CU,77.0,broken clouds,20.9625,-75.7186,Hostal Iván y yailet
517,Mineiros,BR,77.85,overcast clouds,-17.5694,-52.5511,Pilões Palace Hotel
520,Kloulklubed,PW,80.8,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
522,San Rafael,AR,85.42,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
523,Yulara,AU,78.8,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
526,Alta Floresta,BR,87.8,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
528,Sai Buri,TH,75.61,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
533,Bintulu,MY,77.0,light rain,3.1667,113.0333,900 Boutique INN
534,Grand Baie,MU,81.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
536,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
537,Bhadrachalam,IN,68.81,clear sky,17.6667,80.8833,Hotel Srinidhi Residency
540,Abu Dhabi,AE,69.8,clear sky,24.4667,54.3667,Beach Rotana
544,General Bravo,MX,68.74,overcast clouds,25.8,-99.1667,Hotel Don Joaquin
545,Bubaque,GW,78.58,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
547,Bundaberg,AU,73.0,light rain,-24.85,152.35,Takalvan Motel
549,Quang Ngai,VN,66.0,overcast clouds,15.1167,108.8,Central Hotel
550,Laja,CL,71.6,broken clouds,-37.2667,-72.7,Camping Los Martínez
552,Ternate,ID,79.52,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
561,Mitsamiouli,KM,82.89,overcast clouds,-11.3847,43.2844,Foyer ADM
562,Noumea,NC,79.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
563,Najran,SA,69.8,clear sky,17.4924,44.1277,محمد هادي ال فطيح
564,Sao Felix Do Xingu,BR,85.69,few clouds,-6.6447,-51.995,Rio Xingu Camping
565,Santa Maria,BR,78.8,moderate rain,-29.6842,-53.8069,Hotel Morotin
566,Kendari,ID,73.99,overcast clouds,-3.945,122.4989,Hotel Wixel
567,Aparecida Do Taboado,BR,86.23,moderate rain,-20.0867,-51.0936,Aritana
571,Sragen,ID,74.48,overcast clouds,-7.4264,111.0222,Graha Hotel Sragen
577,Araceli,PH,79.0,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
583,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
587,Yenagoa,NG,80.73,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
588,Alofi,NU,77.0,heavy intensity rain,-19.0595,-169.9187,Taloa Heights
591,Mwingi,KE,67.08,clear sky,-0.9344,38.0601,Thorn Tree by The Address
595,Atakpame,TG,81.66,broken clouds,7.5333,1.1333,Hôtel Luxembourg Atakpame
597,Tamale,GH,87.91,scattered clouds,9.4008,-0.8393,Tap Hotel
599,Tarauaca,BR,80.08,overcast clouds,-8.1614,-70.7656,Flat Temporada
605,Rocha,UY,79.95,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
607,Wajir,KE,87.46,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
614,Mahajanga,MG,77.0,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
615,Petauke,ZM,67.75,overcast clouds,-14.2426,31.3253,Newline Lodge
616,Yendi,GH,86.4,clear sky,9.4427,-0.0099,Eyarro Lodge
620,Marechal Deodoro,BR,78.8,moderate rain,-9.7103,-35.895,santoriniflats
624,Selu,IN,67.68,overcast clouds,19.4667,76.4667,"Plot No. 15/1,Survey No. 6,Parabhani Road, Shambhu Nager, Sailu. Maharasy431503"
626,Garissa,KE,81.1,clear sky,-0.4536,39.6401,Sharif Plaza Hotel
629,Namatanai,PG,81.34,light rain,-3.6667,152.4333,Namatanai Hotel
630,Long Xuyen,VN,73.4,broken clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
631,Acajutla,SV,87.85,clear sky,13.5928,-89.8275,asi es
632,Dakoro,NE,70.23,clear sky,14.5106,6.765,Shagon mai liverpool
634,Voh,NC,75.9,clear sky,-20.9667,164.7,Le gîte du Koniambo
637,Sorong,ID,78.76,overcast clouds,-0.8833,131.25,The Waigo Hotel
638,Le Vauclin,MQ,84.2,scattered clouds,14.5452,-60.8388,Hôtel Cap Macabou
639,Ambon,ID,80.64,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
641,Ranong,TH,75.2,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
643,Tignoan,PH,75.99,scattered clouds,14.5647,121.6197,Real Coast and Surf
645,Maragogi,BR,79.88,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
649,San Carlos De Bariloche,AR,75.99,clear sky,-41.1456,-71.3082,Hotel Patagonia
654,Acapulco,MX,86.0,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
657,Karratha,AU,81.57,light rain,-20.7377,116.8463,ibis Styles Karratha
659,Pampierstad,ZA,76.46,overcast clouds,-27.7832,24.6877,BAROLONG METHODIST CHURCH
661,Daru,PG,77.23,moderate rain,-9.0763,143.2092,Daru Lodge
666,Uribia,CO,88.57,scattered clouds,11.7139,-72.266,Hotel Uribia
668,Bo Rai,TH,72.45,few clouds,12.5728,102.5371,Baiboon Resort
678,Tignere,CM,68.74,few clouds,7.3667,12.65,SADECK
679,Hobyo,SO,76.24,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
681,Mangochi,MW,74.84,light rain,-14.4782,35.2645,Fort Johnstone Hotel
683,Galdar,ES,71.01,clear sky,28.147,-15.6502,Hostel Guide
686,Pitimbu,BR,82.4,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
688,Banikoara,BJ,79.32,clear sky,11.2985,2.4386,Hôtel de l'UCom CVPC
692,Bahia Blanca,AR,83.55,light rain,-38.7196,-62.2724,Hotel Argos
